train episode:90, reward = 0.9012742710200623, state count = 9, state = [6, 15, 79, 115, 121, 153, 156, 158, 165]
train episode:91, reward = 0.9277568166693646, state count = 9, state = [6, 79, 84, 92, 135, 153, 156, 158, 165]
train episode:92, reward = 0.969099394273678, state count = 9, state = [6, 23, 30, 37, 79, 94, 156, 158, 165]
train episode:93, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 152, 153, 156, 158, 165]
train episode:94, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 134, 153, 156, 158, 165]
train episode:95, reward = 0.9021958903137748, state count = 9, state = [6, 13, 79, 153, 156, 157, 158, 159, 165]
train episode:96, reward = 0.9035912391509839, state count = 9, state = [6, 11, 79, 102, 115, 153, 156, 158, 165]
train episode:97, reward = 0.9010438661966343, state count = 9, state = [6, 79, 115, 140, 153, 156, 158, 161, 165]
train episode:98, reward = 0.9547007190377125, state count = 9, state = [6, 36, 79, 115, 153, 156, 158, 165, 178]
evaluate episode:9.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 107, 109, 115, 153, 156, 158, 165]
train episode:99, reward = 0.9015089799776576, state count = 9, state = [6, 13, 49, 69, 79, 105, 156, 158, 165]
train episode:100, reward = 0.9019735591767238, state count = 9, state = [6, 79, 107, 115, 153, 156, 158, 165, 166]
train episode:101, reward = 0.9305410568935093, state count = 9, state = [6, 44, 79, 109, 115, 153, 156, 158, 165]
train episode:102, reward = 0.9254274707178987, state count = 9, state = [6, 66, 79, 108, 111, 153, 156, 158, 165]
train episode:103, reward = 0.972121033851528, state count = 9, state = [6, 25, 79, 115, 144, 153, 156, 158, 165]
train episode:104, reward = 0.9045139351027496, state count = 9, state = [6, 78, 79, 105, 153, 156, 158, 159, 165]
train episode:105, reward = 0.9249682823032387, state count = 9, state = [6, 18, 73, 79, 127, 153, 156, 158, 165]
train episode:106, reward = 0.949594666970429, state count = 9, state = [6, 24, 31, 79, 143, 156, 158, 167, 183]
train episode:107, reward = 0.9189233769192491, state count = 9, state = [6, 79, 92, 94, 115, 153, 156, 158, 165]
train episode:108, reward = 0.8850054457414303, state count = 9, state = [6, 7, 79, 102, 115, 153, 156, 158, 165]
evaluate episode:10.9, reward = 0.9026610065928444, state count = 9, state = [6, 8, 79, 104, 115, 153, 156, 158, 165]
train episode:109, reward = 0.9549375763153213, state count = 9, state = [6, 79, 92, 106, 114, 118, 158, 163, 165]
train episode:110, reward = 0.9572523986242759, state count = 9, state = [6, 22, 79, 95, 153, 156, 158, 165, 180]
train episode:111, reward = 0.9024386754557936, state count = 9, state = [6, 79, 115, 153, 156, 158, 163, 165, 181]
train episode:112, reward = 0.9472653210189632, state count = 9, state = [6, 18, 79, 101, 155, 156, 158, 165, 183]
train episode:113, reward = 0.9017393872991321, state count = 9, state = [6, 79, 115, 153, 156, 158, 165, 172, 174]
train episode:114, reward = 0.9547120202002036, state count = 9, state = [6, 9, 79, 112, 115, 153, 156, 158, 165]
