train episode:136, reward = 0.9916645918523731, state count = 8, state = [11, 25, 39, 78, 81, 82, 154, 171]
train episode:137, reward = 0.9924771877065263, state count = 8, state = [11, 25, 46, 78, 81, 82, 154, 171]
train episode:138, reward = 0.9924809082658687, state count = 8, state = [8, 13, 26, 78, 81, 82, 152, 154]
evaluate episode:13.9, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 154, 171, 176]
train episode:139, reward = 0.7733762676309255, state count = 8, state = [11, 44, 78, 81, 82, 104, 126, 154]
train episode:140, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 127, 154, 171]
train episode:141, reward = 0.8945182969736193, state count = 8, state = [11, 34, 78, 81, 82, 110, 154, 171]
train episode:142, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 154, 171, 176]
train episode:143, reward = 0.8971589242926713, state count = 8, state = [78, 81, 82, 111, 122, 154, 165, 182]
train episode:144, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 154, 171, 176]
train episode:145, reward = 0.8894274903036228, state count = 8, state = [6, 11, 78, 81, 82, 102, 154, 171]
train episode:146, reward = 0.8341490846517179, state count = 8, state = [11, 78, 81, 82, 96, 117, 154, 181]
train episode:147, reward = 0.9924771877065263, state count = 8, state = [2, 11, 25, 78, 81, 82, 154, 171]
train episode:148, reward = 0.8920697684057188, state count = 8, state = [11, 78, 81, 82, 86, 142, 154, 171]
evaluate episode:14.9, reward = 0.9924771877065263, state count = 8, state = [11, 15, 25, 78, 81, 82, 154, 171]
train episode:149, reward = 0.9428824112811591, state count = 8, state = [11, 16, 30, 78, 81, 82, 154, 171]
train episode:150, reward = 0.9939003658894283, state count = 8, state = [11, 17, 25, 78, 81, 82, 154, 171]
train episode:151, reward = 0.8762214845701829, state count = 8, state = [11, 13, 78, 81, 82, 154, 171, 183]
train episode:152, reward = 0.8012647164453492, state count = 8, state = [77, 78, 81, 82, 121, 143, 151, 154]
train episode:153, reward = 0.8973547402445021, state count = 8, state = [11, 37, 78, 81, 82, 94, 154, 171]
train episode:154, reward = 0.8193034054932081, state count = 8, state = [78, 81, 82, 87, 103, 135, 154, 168]
train episode:155, reward = 0.9367860871333334, state count = 8, state = [16, 55, 78, 81, 82, 129, 145, 154]
train episode:156, reward = 0.8605657016857367, state count = 8, state = [11, 15, 78, 81, 82, 105, 154, 171]
train episode:157, reward = 0.8882063239667938, state count = 8, state = [11, 78, 81, 82, 122, 138, 154, 171]
train episode:158, reward = 0.8605657016857367, state count = 8, state = [11, 15, 78, 81, 82, 100, 154, 171]
evaluate episode:15.9, reward = 0.9924771877065263, state count = 8, state = [11, 15, 25, 78, 81, 82, 154, 171]
train episode:159, reward = 0.8483804441288196, state count = 8, state = [49, 62, 69, 78, 81, 154, 156, 157]
train episode:160, reward = 0.9924771877065263, state count = 8, state = [11, 13, 25, 78, 81, 82, 154, 171]
train episode:161, reward = 0.8894274903036228, state count = 8, state = [11, 24, 78, 81, 82, 137, 154, 171]
train episode:162, reward = 0.8829316926128449, state count = 8, state = [11, 30, 78, 81, 82, 114, 154, 171]
train episode:163, reward = 0.8195074921535748, state count = 8, state = [3, 41, 78, 81, 99, 107, 154, 156]
train episode:164, reward = 0.9934963438766141, state count = 8, state = [40, 42, 78, 81, 82, 92, 154, 161]
train episode:165, reward = 0.8902400861577761, state count = 8, state = [11, 50, 78, 81, 82, 137, 154, 171]
train episode:166, reward = 0.8914600123081577, state count = 8, state = [11, 52, 78, 81, 82, 145, 154, 171]
train episode:167, reward = 0.8902404984337041, state count = 8, state = [11, 30, 78, 81, 82, 153, 154, 171]
train episode:168, reward = 0.9538617550312525, state count = 8, state = [11, 75, 78, 81, 82, 109, 154, 171]
evaluate episode:16.9, reward = 0.8902404984337041, state count = 8, state = [11, 30, 78, 81, 82, 153, 154, 171]
train episode:169, reward = 0.8900372464011838, state count = 8, state = [11, 24, 30, 78, 81, 82, 154, 171]
train episode:170, reward = 0.8902404984337041, state count = 8, state = [11, 30, 78, 81, 82, 153, 154, 171]
train episode:171, reward = 0.911174646666095, state count = 8, state = [11, 78, 81, 82, 154, 164, 171, 183]
train episode:172, reward = 0.8957332741335329, state count = 8, state = [11, 78, 81, 82, 134, 153, 154, 171]
train episode:173, reward = 0.9290707688507751, state count = 8, state = [2, 11, 26, 29, 78, 81, 82, 154]
train episode:174, reward = 0.798784052186374, state count = 3, state = [78, 81, 143]
train episode:175, reward = 0.8957332741335329, state count = 8, state = [11, 78, 81, 82, 134, 153, 154, 171]
train episode:176, reward = 0.8896307423361431, state count = 8, state = [11, 51, 78, 81, 82, 153, 154, 171]
train episode:177, reward = 0.8605657016857367, state count = 8, state = [11, 78, 81, 82, 103, 117, 154, 171]
train episode:178, reward = 0.8709311833723057, state count = 8, state = [11, 78, 81, 82, 142, 154, 163, 180]
evaluate episode:17.9, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 153, 154, 171]
train episode:179, reward = 0.7658802767834174, state count = 8, state = [11, 13, 78, 81, 82, 83, 126, 154]
train episode:180, reward = 0.9219490959972829, state count = 8, state = [76, 78, 81, 82, 112, 121, 154, 155]
train episode:181, reward = 0.8943125662475356, state count = 8, state = [11, 78, 81, 82, 110, 153, 154, 171]
train episode:182, reward = 0.7737807220716478, state count = 8, state = [9, 19, 78, 81, 95, 107, 132, 149]
train episode:183, reward = 0.993291848298983, state count = 8, state = [11, 16, 47, 78, 81, 82, 154, 164]
train episode:184, reward = 0.9298800648181726, state count = 8, state = [4, 66, 75, 78, 81, 82, 154, 155]
train episode:185, reward = 0.860972619706037, state count = 8, state = [11, 14, 15, 78, 81, 82, 154, 171]
train episode:186, reward = 0.8912592389692007, state count = 8, state = [11, 78, 81, 82, 84, 153, 154, 171]
train episode:187, reward = 0.8479425499959714, state count = 8, state = [11, 78, 81, 82, 93, 127, 154, 171]
train episode:188, reward = 0.9130039166381095, state count = 8, state = [55, 78, 81, 82, 114, 131, 138, 154]
evaluate episode:18.9, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 153, 154, 171]
train episode:189, reward = 0.9959357822221179, state count = 8, state = [11, 23, 78, 81, 82, 153, 154, 171]
train episode:190, reward = 0.7071148631635202, state count = 8, state = [11, 52, 78, 81, 82, 86, 107, 154]
train episode:191, reward = 0.9928849302786826, state count = 8, state = [7, 11, 54, 78, 81, 82, 154, 171]
train episode:192, reward = 0.9640247722918602, state count = 8, state = [37, 75, 78, 81, 114, 139, 152, 154]
train episode:193, reward = 0.8896307423361431, state count = 8, state = [11, 70, 78, 81, 82, 153, 154, 171]
train episode:194, reward = 0.9412650662501386, state count = 8, state = [11, 44, 78, 81, 82, 97, 146, 154]
train episode:195, reward = 0.8902409107096322, state count = 8, state = [11, 39, 78, 81, 82, 153, 154, 171]
train episode:196, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 153, 154, 171]
train episode:197, reward = 0.969917852803824, state count = 8, state = [54, 78, 81, 82, 89, 121, 123, 154]
train episode:198, reward = 0.8796804896823709, state count = 8, state = [11, 29, 78, 81, 82, 154, 171, 179]
evaluate episode:19.9, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 153, 154, 171]
train episode:199, reward = 0.8902409123889639, state count = 8, state = [10, 11, 78, 81, 82, 153, 154, 171]
train episode:200, reward = 0.9930885962664627, state count = 8, state = [2, 11, 54, 78, 81, 82, 154, 171]
