train episode:161, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 141, 148, 161, 170, 174, 177, 183]
train episode:162, reward = 0.9863779709098776, state count = 10, state = [14, 17, 68, 76, 91, 92, 112, 141, 161, 170]
train episode:163, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 94, 141, 161, 170, 174, 183]
train episode:164, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 87, 141, 147, 161, 170, 174, 181]
train episode:165, reward = 0.9839418358097933, state count = 10, state = [17, 29, 76, 87, 100, 141, 161, 170, 174, 183]
train episode:166, reward = 0.9902430678111782, state count = 10, state = [8, 17, 31, 44, 50, 76, 141, 161, 168, 170]
train episode:167, reward = 0.9908511714463637, state count = 10, state = [17, 30, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:168, reward = 0.9912576755114044, state count = 10, state = [17, 53, 76, 87, 141, 148, 149, 161, 170, 174]
evaluate episode:16.9, reward = 0.9890218997950173, state count = 10, state = [17, 48, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:169, reward = 0.9910544234788841, state count = 10, state = [17, 62, 76, 87, 141, 154, 161, 170, 172, 174]
train episode:170, reward = 0.9908511714463637, state count = 10, state = [17, 30, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:171, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 141, 155, 161, 170, 174, 183]
train episode:172, reward = 0.9912576755114044, state count = 10, state = [17, 37, 76, 87, 96, 141, 161, 170, 174, 178]
train episode:173, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 105, 141, 161, 170, 174, 181]
train episode:174, reward = 0.9857673869017972, state count = 10, state = [17, 59, 76, 87, 138, 141, 161, 167, 170, 174]
train episode:175, reward = 0.9912572598768129, state count = 10, state = [17, 44, 76, 79, 87, 141, 161, 170, 174, 179]
train episode:176, reward = 0.991258501742592, state count = 10, state = [17, 23, 76, 87, 97, 114, 141, 161, 170, 174]
train episode:177, reward = 0.9963389796830759, state count = 10, state = [17, 44, 76, 125, 138, 141, 160, 161, 170, 174]
train episode:178, reward = 0.9898349112837621, state count = 10, state = [17, 54, 76, 87, 106, 141, 161, 170, 174, 183]
evaluate episode:17.9, reward = 0.9890218997950173, state count = 10, state = [17, 48, 76, 87, 106, 141, 161, 170, 174, 183]
train episode:179, reward = 0.9867844749749182, state count = 10, state = [17, 20, 55, 76, 87, 141, 161, 170, 174, 183]
train episode:180, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 106, 141, 161, 169, 170, 174, 183]
train episode:181, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 98, 131, 141, 161, 166, 170, 174]
train episode:182, reward = 0.9922743496292655, state count = 10, state = [14, 17, 29, 76, 118, 141, 161, 162, 169, 170]
train episode:183, reward = 0.9912576755114044, state count = 10, state = [17, 37, 76, 87, 141, 161, 170, 174, 180, 183]
train episode:184, reward = 0.9912576755114044, state count = 10, state = [17, 18, 80, 89, 96, 118, 134, 141, 161, 170]
train episode:185, reward = 0.9892251518275377, state count = 10, state = [17, 48, 56, 76, 87, 141, 161, 170, 174, 183]
train episode:186, reward = 0.997764636559541, state count = 10, state = [17, 76, 120, 130, 138, 141, 161, 170, 174, 183]
train episode:187, reward = 0.9880052290358196, state count = 10, state = [17, 66, 73, 76, 87, 128, 141, 161, 170, 174]
train episode:188, reward = 0.9953227195204741, state count = 10, state = [7, 17, 76, 141, 161, 167, 168, 170, 171, 174]
evaluate episode:18.9, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 87, 106, 141, 161, 170, 174, 183]
train episode:189, reward = 0.9941048564290643, state count = 10, state = [17, 39, 90, 118, 138, 141, 146, 161, 170, 176]
train episode:190, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 108, 136, 141, 152, 161, 170, 174]
train episode:191, reward = 0.9945092957558016, state count = 10, state = [6, 17, 56, 76, 79, 105, 141, 161, 170, 174]
