train episode:137, reward = 0.973170731707317, state count = 8, state = [27, 51, 56, 76, 96, 100, 118, 132]
train episode:138, reward = 0.9455284552845529, state count = 8, state = [27, 37, 51, 76, 96, 100, 118, 132]
evaluate episode:13.9, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:139, reward = 0.9479674796747968, state count = 8, state = [4, 41, 76, 86, 118, 131, 138, 149]
train episode:140, reward = 0.9186991869918699, state count = 8, state = [51, 76, 87, 96, 100, 118, 132, 143]
train episode:141, reward = 0.9186991869918699, state count = 8, state = [51, 76, 89, 96, 100, 118, 132, 148]
train episode:142, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:143, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:144, reward = 0.7691056910569106, state count = 8, state = [19, 48, 51, 75, 76, 96, 100, 118]
train episode:145, reward = 0.9682926829268292, state count = 8, state = [27, 51, 76, 96, 100, 118, 132, 148]
train episode:146, reward = 0.7577235772357723, state count = 8, state = [19, 51, 76, 96, 100, 118, 132, 148]
train episode:147, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 84, 96, 100, 118, 132]
train episode:148, reward = 0.9804878048780488, state count = 8, state = [27, 51, 76, 96, 100, 118, 120, 132]
evaluate episode:14.9, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:149, reward = 0.9861788617886179, state count = 8, state = [38, 51, 76, 96, 100, 118, 135, 163]
train episode:150, reward = 0.9422764227642276, state count = 8, state = [5, 27, 51, 76, 96, 100, 118, 132]
train episode:151, reward = 0.9414634146341463, state count = 8, state = [51, 76, 84, 96, 100, 118, 121, 136]
train episode:152, reward = 0.9414634146341463, state count = 8, state = [14, 51, 76, 96, 100, 118, 129, 132]
train episode:153, reward = 0.9504065040650407, state count = 8, state = [32, 51, 62, 76, 96, 100, 113, 118]
train episode:154, reward = 0.9447154471544715, state count = 8, state = [51, 53, 76, 89, 92, 96, 100, 118]
train episode:155, reward = 0.9121951219512195, state count = 8, state = [51, 76, 96, 100, 109, 118, 145, 157]
train episode:156, reward = 0.9422764227642276, state count = 8, state = [11, 27, 51, 76, 96, 100, 118, 132]
