train episode:206, reward = 92.84552845528455, state count = 7, state = [6, 50, 56, 83, 95, 172, 177]
train episode:207, reward = 90.73170731707317, state count = 7, state = [4, 6, 56, 83, 95, 115, 126]
train episode:208, reward = 75.9349593495935, state count = 7, state = [4, 19, 56, 83, 95, 113, 166]
evaluate episode:20.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:209, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 134]
train episode:210, reward = 86.66666666666667, state count = 7, state = [4, 6, 45, 56, 83, 95, 115]
train episode:211, reward = 91.70731707317074, state count = 7, state = [4, 56, 83, 95, 115, 120, 178]
train episode:212, reward = 93.0081300813008, state count = 7, state = [4, 56, 83, 95, 115, 158, 180]
train episode:213, reward = 94.6341463414634, state count = 7, state = [4, 56, 69, 83, 95, 115, 174]
train episode:214, reward = 90.89430894308943, state count = 7, state = [4, 6, 56, 83, 93, 95, 115]
train episode:215, reward = 88.53658536585365, state count = 7, state = [4, 34, 56, 59, 83, 95, 115]
train episode:216, reward = 94.14634146341463, state count = 7, state = [4, 6, 56, 79, 83, 95, 115]
train episode:217, reward = 88.3739837398374, state count = 7, state = [4, 56, 77, 83, 95, 111, 115]
train episode:218, reward = 92.52032520325203, state count = 7, state = [4, 6, 56, 80, 83, 95, 115]
evaluate episode:21.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:219, reward = 89.51219512195122, state count = 7, state = [4, 56, 73, 83, 95, 115, 164]
train episode:220, reward = 99.26829268292683, state count = 7, state = [4, 33, 56, 83, 95, 98, 176]
train episode:221, reward = 98.69918699186991, state count = 7, state = [4, 22, 32, 56, 83, 95, 115]
train episode:222, reward = 94.22764227642276, state count = 7, state = [4, 34, 56, 79, 83, 95, 115]
train episode:223, reward = 90.97560975609757, state count = 7, state = [4, 6, 56, 83, 90, 95, 115]
train episode:224, reward = 90.73170731707317, state count = 7, state = [4, 6, 56, 83, 95, 115, 122]
train episode:225, reward = 89.91869918699187, state count = 7, state = [4, 56, 83, 95, 115, 128, 140]
train episode:226, reward = 84.79674796747967, state count = 7, state = [4, 56, 83, 89, 95, 115, 183]
train episode:227, reward = 87.15447154471545, state count = 7, state = [9, 56, 83, 85, 95, 110, 163]
train episode:228, reward = 90.97560975609757, state count = 7, state = [2, 4, 56, 83, 95, 115, 126]
evaluate episode:22.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:229, reward = 91.30081300813008, state count = 7, state = [4, 56, 64, 82, 83, 95, 115]
train episode:230, reward = 89.83739837398373, state count = 7, state = [4, 13, 56, 83, 95, 98, 115]
train episode:231, reward = 93.82113821138212, state count = 7, state = [4, 56, 83, 95, 115, 127, 170]
train episode:232, reward = 93.08943089430895, state count = 7, state = [4, 56, 83, 95, 97, 115, 180]
train episode:233, reward = 96.01626016260163, state count = 7, state = [4, 56, 75, 83, 86, 95, 115]
train episode:234, reward = 97.39837398373984, state count = 7, state = [13, 31, 54, 56, 83, 95, 148]
train episode:235, reward = 93.57723577235772, state count = 7, state = [3, 4, 56, 83, 95, 115, 147]
train episode:236, reward = 95.04065040650407, state count = 7, state = [4, 56, 58, 83, 95, 115, 162]
train episode:237, reward = 94.79674796747967, state count = 7, state = [4, 56, 71, 83, 95, 115, 167]
train episode:238, reward = 89.59349593495935, state count = 7, state = [8, 16, 29, 56, 81, 83, 95]
evaluate episode:23.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:239, reward = 91.05691056910568, state count = 7, state = [55, 56, 64, 83, 95, 124, 182]
train episode:240, reward = 98.69918699186991, state count = 7, state = [4, 40, 56, 83, 95, 99, 115]
train episode:241, reward = 94.8780487804878, state count = 7, state = [56, 83, 95, 134, 139, 141, 144]
train episode:242, reward = 94.39024390243902, state count = 7, state = [4, 6, 56, 83, 95, 115, 142]
train episode:243, reward = 91.21951219512195, state count = 7, state = [4, 6, 56, 83, 95, 115, 119]
train episode:244, reward = 93.2520325203252, state count = 7, state = [4, 11, 56, 83, 95, 115, 143]
train episode:245, reward = 92.84552845528455, state count = 7, state = [4, 6, 56, 83, 95, 115, 157]
train episode:246, reward = 94.79674796747967, state count = 7, state = [4, 56, 83, 95, 115, 152, 175]
train episode:247, reward = 87.39837398373984, state count = 7, state = [4, 56, 83, 95, 109, 115, 162]
train episode:248, reward = 88.13008130081302, state count = 7, state = [4, 22, 56, 83, 94, 95, 111]
evaluate episode:24.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:249, reward = 97.5609756097561, state count = 7, state = [4, 56, 61, 74, 83, 95, 122]
train episode:250, reward = 95.6910569105691, state count = 7, state = [4, 56, 83, 95, 115, 179, 182]
train episode:251, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:252, reward = 93.65853658536587, state count = 7, state = [35, 36, 56, 65, 83, 95, 99]
train episode:253, reward = 90.89430894308943, state count = 7, state = [4, 6, 56, 83, 95, 115, 152]
train episode:254, reward = 89.75609756097562, state count = 7, state = [4, 56, 69, 72, 83, 95, 178]
train episode:255, reward = 91.78861788617886, state count = 7, state = [4, 56, 83, 95, 118, 173, 176]
train episode:256, reward = 96.09756097560975, state count = 7, state = [4, 6, 56, 83, 95, 115, 167]
train episode:257, reward = 81.46341463414633, state count = 7, state = [4, 6, 56, 57, 83, 95, 115]
train episode:258, reward = 90.65040650406505, state count = 7, state = [4, 56, 83, 95, 107, 115, 123]
evaluate episode:25.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:259, reward = 93.73983739837398, state count = 7, state = [4, 19, 56, 83, 95, 119, 142]
train episode:260, reward = 98.78048780487805, state count = 7, state = [4, 33, 56, 79, 83, 95, 115]
train episode:261, reward = 93.17073170731707, state count = 7, state = [4, 56, 83, 90, 95, 115, 181]
train episode:262, reward = 89.34959349593497, state count = 7, state = [4, 14, 56, 83, 95, 115, 148]
