train episode:201, reward = 98.69918699186991, state count = 5, state = [25, 33, 94, 99, 101]
train episode:202, reward = 99.26829268292683, state count = 5, state = [25, 33, 92, 99, 173]
train episode:203, reward = 99.1869918699187, state count = 5, state = [22, 25, 33, 99, 146]
train episode:204, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 152]
train episode:205, reward = 99.02439024390245, state count = 5, state = [6, 25, 33, 64, 99]
train episode:206, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:207, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 147, 165]
train episode:208, reward = 99.1869918699187, state count = 5, state = [25, 33, 86, 99, 107]
evaluate episode:20.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:209, reward = 98.6178861788618, state count = 5, state = [15, 25, 33, 93, 99]
train episode:210, reward = 98.69918699186991, state count = 5, state = [8, 25, 33, 94, 99]
train episode:211, reward = 98.53658536585365, state count = 5, state = [7, 25, 33, 64, 89]
train episode:212, reward = 99.02439024390245, state count = 5, state = [25, 29, 33, 99, 113]
train episode:213, reward = 98.78048780487805, state count = 5, state = [25, 33, 66, 114, 152]
train episode:214, reward = 98.69918699186991, state count = 5, state = [25, 33, 47, 88, 99]
train episode:215, reward = 98.78048780487805, state count = 5, state = [6, 25, 31, 33, 137]
train episode:216, reward = 99.02439024390245, state count = 5, state = [25, 33, 49, 64, 99]
train episode:217, reward = 99.1869918699187, state count = 5, state = [25, 33, 81, 100, 147]
train episode:218, reward = 99.10569105691057, state count = 5, state = [25, 33, 99, 126, 181]
evaluate episode:21.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:219, reward = 99.43089430894308, state count = 5, state = [16, 25, 33, 99, 164]
train episode:220, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:221, reward = 98.69918699186991, state count = 5, state = [16, 25, 33, 55, 148]
train episode:222, reward = 99.10569105691057, state count = 5, state = [25, 33, 64, 99, 119]
train episode:223, reward = 99.10569105691057, state count = 5, state = [20, 25, 33, 35, 158]
train episode:224, reward = 99.10569105691057, state count = 5, state = [25, 33, 61, 64, 99]
train episode:225, reward = 99.10569105691057, state count = 5, state = [14, 25, 33, 99, 157]
train episode:226, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 164]
train episode:227, reward = 99.1869918699187, state count = 5, state = [19, 25, 33, 99, 183]
train episode:228, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
evaluate episode:22.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:229, reward = 99.1869918699187, state count = 5, state = [25, 33, 95, 118, 175]
train episode:230, reward = 98.69918699186991, state count = 5, state = [25, 33, 93, 99, 121]
train episode:231, reward = 99.43089430894308, state count = 5, state = [25, 33, 84, 85, 99]
train episode:232, reward = 98.86178861788618, state count = 5, state = [25, 33, 58, 99, 112]
train episode:233, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 139, 162]
train episode:234, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 150]
train episode:235, reward = 99.43089430894308, state count = 5, state = [11, 25, 33, 58, 99]
train episode:236, reward = 99.26829268292683, state count = 5, state = [25, 33, 35, 99, 138]
train episode:237, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 102, 169]
train episode:238, reward = 99.1869918699187, state count = 5, state = [6, 25, 33, 99, 108]
evaluate episode:23.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:239, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 138]
train episode:240, reward = 99.02439024390245, state count = 5, state = [3, 25, 33, 64, 99]
train episode:241, reward = 98.9430894308943, state count = 5, state = [25, 33, 53, 63, 89]
train episode:242, reward = 98.9430894308943, state count = 5, state = [25, 33, 59, 64, 99]
train episode:243, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:244, reward = 99.02439024390245, state count = 5, state = [25, 31, 33, 64, 99]
train episode:245, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:246, reward = 99.1869918699187, state count = 5, state = [25, 33, 51, 99, 129]
train episode:247, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 108]
train episode:248, reward = 99.1869918699187, state count = 5, state = [25, 33, 76, 99, 157]
evaluate episode:24.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:249, reward = 99.02439024390245, state count = 5, state = [13, 25, 33, 64, 99]
train episode:250, reward = 99.02439024390245, state count = 5, state = [11, 25, 33, 64, 99]
train episode:251, reward = 99.34959349593497, state count = 5, state = [25, 33, 36, 99, 108]
train episode:252, reward = 99.1869918699187, state count = 5, state = [25, 33, 64, 99, 172]
train episode:253, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:254, reward = 99.1869918699187, state count = 5, state = [17, 25, 33, 99, 133]
train episode:255, reward = 99.1869918699187, state count = 5, state = [17, 25, 33, 64, 99]
train episode:256, reward = 98.9430894308943, state count = 5, state = [25, 33, 64, 99, 112]
train episode:257, reward = 98.45528455284553, state count = 5, state = [25, 33, 65, 75, 99]
train episode:258, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
evaluate episode:25.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:259, reward = 99.02439024390245, state count = 5, state = [24, 25, 33, 64, 99]
train episode:260, reward = 98.78048780487805, state count = 5, state = [25, 31, 33, 99, 147]
train episode:261, reward = 98.78048780487805, state count = 5, state = [25, 33, 51, 114, 155]
train episode:262, reward = 99.43089430894308, state count = 5, state = [25, 33, 51, 52, 58]
train episode:263, reward = 99.1869918699187, state count = 5, state = [18, 25, 33, 64, 99]
train episode:264, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:265, reward = 99.26829268292683, state count = 5, state = [25, 33, 90, 99, 133]
train episode:266, reward = 99.59349593495935, state count = 5, state = [17, 25, 41, 146, 161]
train episode:267, reward = 99.1869918699187, state count = 5, state = [7, 25, 33, 51, 99]
train episode:268, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
evaluate episode:26.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:269, reward = 99.10569105691057, state count = 5, state = [15, 25, 33, 99, 145]
train episode:270, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:271, reward = 99.1869918699187, state count = 5, state = [25, 33, 60, 99, 138]
train episode:272, reward = 99.43089430894308, state count = 5, state = [25, 33, 92, 99, 120]
train episode:273, reward = 99.02439024390245, state count = 5, state = [25, 33, 34, 36, 79]
train episode:274, reward = 99.26829268292683, state count = 5, state = [25, 33, 34, 64, 99]
train episode:275, reward = 99.34959349593497, state count = 5, state = [25, 27, 33, 99, 154]
train episode:276, reward = 98.78048780487805, state count = 5, state = [25, 31, 33, 118, 153]
train episode:277, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 129]
train episode:278, reward = 99.02439024390245, state count = 5, state = [6, 25, 33, 64, 99]
evaluate episode:27.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:279, reward = 98.9430894308943, state count = 5, state = [25, 33, 64, 97, 99]
train episode:280, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 138]
train episode:281, reward = 99.1869918699187, state count = 5, state = [25, 33, 45, 59, 99]
train episode:282, reward = 99.10569105691057, state count = 5, state = [25, 33, 94, 99, 178]
train episode:283, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 140]
train episode:284, reward = 99.59349593495935, state count = 5, state = [25, 33, 68, 99, 122]
train episode:285, reward = 99.26829268292683, state count = 5, state = [25, 33, 64, 83, 99]
train episode:286, reward = 99.26829268292683, state count = 5, state = [25, 33, 35, 71, 99]
train episode:287, reward = 98.29268292682927, state count = 5, state = [12, 25, 66, 90, 129]
train episode:288, reward = 99.1869918699187, state count = 5, state = [25, 33, 145, 167, 181]
evaluate episode:28.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:289, reward = 99.34959349593497, state count = 5, state = [25, 33, 64, 99, 148]
train episode:290, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:291, reward = 99.59349593495935, state count = 5, state = [13, 25, 96, 139, 146]
train episode:292, reward = 99.43089430894308, state count = 5, state = [25, 26, 33, 64, 99]
train episode:293, reward = 99.02439024390245, state count = 5, state = [25, 33, 51, 66, 78]
train episode:294, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 155, 160]
train episode:295, reward = 99.59349593495935, state count = 5, state = [8, 25, 99, 101, 137]
train episode:296, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:297, reward = 99.1869918699187, state count = 5, state = [25, 33, 99, 108, 117]
train episode:298, reward = 99.1869918699187, state count = 5, state = [25, 33, 64, 99, 120]
evaluate episode:29.9, reward = 99.43089430894308, state count = 5, state = [25, 33, 54, 64, 99]
train episode:299, reward = 99.02439024390245, state count = 5, state = [25, 33, 64, 99, 164]
