train episode:151, reward = 0.9504065040650407, state count = 5, state = [15, 27, 43, 90, 122]
train episode:152, reward = 0.9552845528455285, state count = 5, state = [24, 43, 75, 106, 119]
train episode:153, reward = 0.7894308943089431, state count = 5, state = [15, 43, 64, 90, 156]
train episode:154, reward = 0.883739837398374, state count = 5, state = [4, 43, 50, 114, 120]
train episode:155, reward = 0.8674796747967479, state count = 5, state = [15, 43, 90, 97, 134]
train episode:156, reward = 0.9504065040650407, state count = 5, state = [15, 27, 43, 90, 122]
train episode:157, reward = 0.9504065040650407, state count = 5, state = [15, 27, 43, 90, 122]
train episode:158, reward = 0.816260162601626, state count = 5, state = [15, 43, 90, 122, 147]
evaluate episode:15.9, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:159, reward = 0.9902439024390244, state count = 5, state = [54, 60, 105, 145, 149]
train episode:160, reward = 0.9276422764227642, state count = 5, state = [9, 15, 43, 79, 90]
train episode:161, reward = 0.8691056910569106, state count = 5, state = [15, 16, 43, 50, 124]
train episode:162, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:163, reward = 0.9983739837398374, state count = 5, state = [15, 40, 43, 90, 120]
train episode:164, reward = 0.9910569105691057, state count = 5, state = [5, 15, 36, 43, 90]
train episode:165, reward = 0.7853658536585366, state count = 5, state = [15, 43, 50, 69, 90]
train episode:166, reward = 0.8252032520325203, state count = 5, state = [6, 15, 43, 90, 122]
train episode:167, reward = 0.9739837398373984, state count = 5, state = [15, 43, 68, 90, 122]
train episode:168, reward = 0.8016260162601626, state count = 5, state = [15, 43, 90, 102, 122]
evaluate episode:16.9, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:169, reward = 0.9040650406504065, state count = 5, state = [15, 43, 90, 113, 122]
train episode:170, reward = 0.8813008130081301, state count = 5, state = [15, 28, 43, 90, 117]
train episode:171, reward = 0.8048780487804879, state count = 5, state = [8, 15, 43, 90, 122]
train episode:172, reward = 0.8772357723577235, state count = 5, state = [15, 31, 43, 90, 98]
train episode:173, reward = 0.8634146341463415, state count = 5, state = [15, 43, 49, 90, 119]
train episode:174, reward = 0.9398373983739837, state count = 5, state = [15, 43, 65, 90, 122]
train episode:175, reward = 0.9926829268292683, state count = 5, state = [15, 26, 43, 89, 90]
train episode:176, reward = 0.8040650406504065, state count = 5, state = [15, 43, 90, 108, 122]
train episode:177, reward = 0.8032520325203252, state count = 5, state = [15, 43, 90, 122, 151]
train episode:178, reward = 0.8008130081300813, state count = 5, state = [15, 43, 90, 122, 146]
evaluate episode:17.9, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:179, reward = 0.9333333333333333, state count = 5, state = [15, 43, 79, 90, 122]
train episode:180, reward = 0.9471544715447154, state count = 5, state = [15, 16, 43, 90, 149]
train episode:181, reward = 0.9203252032520325, state count = 5, state = [15, 35, 43, 90, 122]
train episode:182, reward = 0.8040650406504065, state count = 5, state = [15, 43, 90, 122, 154]
train episode:183, reward = 0.9804878048780488, state count = 5, state = [43, 63, 67, 147, 151]
train episode:184, reward = 0.9569105691056911, state count = 5, state = [15, 27, 43, 89, 90]
train episode:185, reward = 0.8975609756097561, state count = 5, state = [15, 43, 59, 90, 122]
train episode:186, reward = 0.9634146341463414, state count = 5, state = [27, 29, 43, 151, 159]
train episode:187, reward = 0.8056910569105691, state count = 5, state = [15, 43, 90, 121, 122]
