evaluate episode:10.9, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 95, 122, 136, 154, 155]
train episode:109, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 95, 122, 136, 154, 155]
train episode:110, reward = 0.9886178861788618, state count = 10, state = [6, 24, 40, 41, 48, 73, 122, 136, 152, 154]
train episode:111, reward = 0.9617886178861789, state count = 10, state = [40, 41, 45, 48, 113, 122, 136, 150, 152, 154]
train episode:112, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 113, 122, 136, 154, 156]
train episode:113, reward = 0.9878048780487805, state count = 10, state = [3, 24, 40, 41, 48, 73, 120, 122, 136, 154]
train episode:114, reward = 0.767479674796748, state count = 10, state = [19, 24, 40, 41, 48, 98, 114, 122, 136, 154]
train episode:115, reward = 0.9878048780487805, state count = 10, state = [6, 24, 35, 40, 41, 48, 73, 122, 136, 154]
train episode:116, reward = 0.9772357723577236, state count = 10, state = [12, 41, 48, 56, 78, 82, 106, 122, 136, 154]
train episode:117, reward = 0.9951219512195122, state count = 10, state = [40, 41, 48, 93, 122, 135, 136, 141, 153, 154]
train episode:118, reward = 0.9691056910569106, state count = 10, state = [24, 40, 41, 48, 112, 122, 136, 147, 154, 157]
evaluate episode:11.9, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 122, 136, 154, 155, 156]
train episode:119, reward = 0.9520325203252032, state count = 10, state = [31, 41, 48, 107, 115, 117, 122, 136, 139, 154]
train episode:120, reward = 0.9951219512195122, state count = 10, state = [24, 40, 41, 48, 70, 78, 122, 136, 139, 154]
train episode:121, reward = 0.9983739837398374, state count = 10, state = [24, 26, 36, 40, 41, 48, 77, 122, 136, 154]
train episode:122, reward = 0.9853658536585366, state count = 10, state = [24, 40, 41, 48, 56, 73, 105, 122, 136, 154]
train episode:123, reward = 0.9878048780487805, state count = 10, state = [1, 24, 40, 41, 48, 73, 122, 136, 154, 158]
train episode:124, reward = 0.9642276422764228, state count = 10, state = [9, 24, 28, 40, 41, 48, 83, 122, 136, 154]
train episode:125, reward = 0.9585365853658536, state count = 10, state = [26, 40, 41, 48, 59, 109, 122, 136, 140, 154]
train episode:126, reward = 0.9813008130081301, state count = 10, state = [40, 41, 48, 67, 71, 77, 122, 136, 139, 154]
train episode:127, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 52, 73, 122, 136, 154, 155]
train episode:128, reward = 0.9642276422764228, state count = 10, state = [24, 40, 41, 48, 73, 114, 122, 136, 154, 155]
evaluate episode:12.9, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 122, 136, 154, 155, 156]
train episode:129, reward = 0.9544715447154472, state count = 10, state = [28, 41, 48, 74, 111, 122, 124, 129, 135, 136]
train episode:130, reward = 0.9552845528455285, state count = 10, state = [24, 40, 41, 45, 48, 73, 122, 136, 154, 155]
train episode:131, reward = 0.9951219512195122, state count = 10, state = [24, 40, 41, 48, 104, 122, 124, 136, 154, 162]
train episode:132, reward = 0.9967479674796748, state count = 10, state = [17, 24, 40, 41, 48, 61, 73, 122, 136, 154]
train episode:133, reward = 0.9951219512195122, state count = 10, state = [4, 24, 40, 41, 48, 95, 122, 124, 136, 154]
train episode:134, reward = 0.9861788617886179, state count = 10, state = [24, 31, 40, 41, 48, 67, 73, 122, 136, 154]
train episode:135, reward = 0.973170731707317, state count = 10, state = [24, 26, 40, 41, 48, 106, 112, 122, 136, 154]
train episode:136, reward = 0.9626016260162602, state count = 10, state = [16, 38, 41, 48, 89, 105, 122, 136, 145, 152]
train episode:137, reward = 0.9780487804878049, state count = 10, state = [24, 40, 41, 48, 73, 79, 104, 122, 136, 154]
train episode:138, reward = 0.9650406504065041, state count = 10, state = [16, 24, 40, 41, 48, 91, 122, 136, 152, 154]
evaluate episode:13.9, reward = 0.989430894308943, state count = 10, state = [24, 40, 41, 48, 64, 73, 122, 136, 154, 156]
train episode:139, reward = 0.989430894308943, state count = 10, state = [33, 41, 48, 87, 103, 108, 112, 122, 126, 136]
train episode:140, reward = 0.9886178861788618, state count = 10, state = [24, 40, 41, 46, 48, 51, 73, 122, 136, 154]
train episode:141, reward = 0.9951219512195122, state count = 10, state = [24, 40, 41, 46, 48, 49, 119, 122, 136, 154]
train episode:142, reward = 0.9666666666666667, state count = 10, state = [1, 24, 40, 41, 48, 59, 70, 122, 136, 154]
train episode:143, reward = 0.9707317073170731, state count = 10, state = [41, 48, 65, 76, 80, 105, 122, 136, 147, 154]
train episode:144, reward = 0.9715447154471545, state count = 10, state = [40, 41, 48, 63, 85, 87, 108, 122, 136, 154]
train episode:145, reward = 0.9699186991869919, state count = 10, state = [24, 40, 41, 47, 48, 84, 114, 122, 136, 154]
train episode:146, reward = 0.989430894308943, state count = 10, state = [24, 40, 41, 48, 73, 86, 122, 136, 154, 155]
train episode:147, reward = 0.9934959349593496, state count = 10, state = [24, 40, 41, 48, 93, 101, 122, 125, 136, 154]
train episode:148, reward = 0.9878048780487805, state count = 8, state = [24, 40, 41, 48, 73, 122, 136, 154]
evaluate episode:14.9, reward = 0.9878048780487805, state count = 10, state = [24, 40, 41, 48, 73, 95, 122, 136, 154, 156]
train episode:149, reward = 0.9951219512195122, state count = 10, state = [24, 40, 41, 48, 103, 121, 122, 136, 154, 162]
train episode:150, reward = 0.967479674796748, state count = 10, state = [24, 40, 41, 48, 73, 112, 122, 136, 154, 156]
train episode:151, reward = 0.9951219512195122, state count = 10, state = [24, 37, 40, 41, 48, 50, 122, 136, 154, 159]
train episode:152, reward = 0.9886178861788618, state count = 10, state = [6, 24, 40, 41, 48, 73, 94, 122, 136, 154]
train episode:153, reward = 0.9560975609756097, state count = 10, state = [24, 31, 40, 41, 48, 73, 105, 122, 136, 154]
train episode:154, reward = 0.9796747967479674, state count = 10, state = [24, 40, 41, 48, 67, 73, 105, 122, 136, 154]
train episode:155, reward = 0.9853658536585366, state count = 10, state = [18, 41, 42, 48, 56, 77, 99, 107, 122, 136]
train episode:156, reward = 0.9926829268292683, state count = 10, state = [14, 40, 41, 48, 49, 122, 136, 146, 154, 156]
train episode:157, reward = 0.983739837398374, state count = 10, state = [41, 48, 61, 64, 69, 74, 94, 122, 136, 154]
train episode:158, reward = 0.9878048780487805, state count = 10, state = [38, 40, 41, 44, 48, 53, 73, 122, 136, 154]
evaluate episode:15.9, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 74, 113, 122, 136, 154]
train episode:159, reward = 0.989430894308943, state count = 10, state = [24, 38, 40, 41, 48, 73, 122, 135, 136, 154]
train episode:160, reward = 0.9975609756097561, state count = 10, state = [41, 48, 61, 68, 122, 131, 136, 154, 157, 163]
train episode:161, reward = 0.9861788617886179, state count = 10, state = [24, 40, 41, 44, 48, 71, 73, 122, 136, 154]
train episode:162, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 74, 113, 122, 136, 154]
train episode:163, reward = 0.9959349593495935, state count = 10, state = [24, 40, 41, 48, 77, 96, 122, 136, 154, 157]
train episode:164, reward = 0.9585365853658536, state count = 10, state = [24, 40, 41, 48, 111, 122, 136, 145, 154, 160]
train episode:165, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 47, 48, 112, 122, 136, 145, 154]
train episode:166, reward = 0.975609756097561, state count = 10, state = [24, 40, 41, 44, 48, 50, 113, 122, 136, 154]
train episode:167, reward = 0.959349593495935, state count = 10, state = [2, 6, 41, 48, 52, 95, 113, 122, 136, 154]
train episode:168, reward = 0.9788617886178862, state count = 10, state = [24, 40, 41, 48, 90, 113, 122, 136, 142, 154]
