train episode:209, reward = 0.8772357723577235, state count = 7, state = [18, 60, 109, 123, 136, 153, 157]
train episode:210, reward = 0.8341463414634146, state count = 7, state = [18, 52, 109, 123, 133, 137, 153]
train episode:211, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 150, 153]
train episode:212, reward = 0.8479674796747968, state count = 7, state = [18, 49, 109, 123, 131, 133, 153]
train episode:213, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 146, 153]
train episode:214, reward = 0.991869918699187, state count = 7, state = [17, 18, 78, 109, 123, 133, 153]
train episode:215, reward = 0.8528455284552846, state count = 7, state = [2, 18, 91, 109, 123, 133, 153]
train episode:216, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 133, 153, 159]
train episode:217, reward = 0.8292682926829268, state count = 7, state = [18, 39, 40, 73, 109, 123, 153]
train episode:218, reward = 0.9943089430894309, state count = 7, state = [18, 34, 54, 123, 124, 131, 142]
evaluate episode:21.9, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 133, 145, 153, 159]
train episode:219, reward = 0.8333333333333334, state count = 7, state = [6, 14, 18, 109, 120, 123, 153]
train episode:220, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 133, 134, 153, 159]
train episode:221, reward = 0.8341463414634146, state count = 7, state = [18, 109, 121, 123, 133, 153, 159]
train episode:222, reward = 0.9626016260162602, state count = 7, state = [18, 41, 56, 65, 79, 101, 123]
train episode:223, reward = 0.8536585365853658, state count = 7, state = [18, 90, 109, 116, 123, 133, 153]
train episode:224, reward = 0.8333333333333334, state count = 7, state = [11, 18, 71, 109, 123, 151, 153]
train episode:225, reward = 0.9796747967479674, state count = 7, state = [18, 61, 78, 90, 109, 123, 153]
train episode:226, reward = 0.9146341463414634, state count = 7, state = [18, 76, 109, 123, 133, 153, 159]
train episode:227, reward = 0.9105691056910569, state count = 7, state = [18, 92, 109, 123, 133, 153, 159]
train episode:228, reward = 0.8040650406504065, state count = 7, state = [18, 57, 109, 123, 133, 138, 153]
evaluate episode:22.9, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 133, 153, 159]
train episode:229, reward = 0.8341463414634146, state count = 7, state = [7, 18, 105, 109, 123, 133, 153]
train episode:230, reward = 0.8349593495934959, state count = 7, state = [18, 41, 109, 123, 133, 153, 159]
train episode:231, reward = 0.8341463414634146, state count = 7, state = [5, 18, 109, 123, 133, 144, 153]
train episode:232, reward = 0.8528455284552846, state count = 7, state = [18, 90, 109, 123, 133, 153, 159]
train episode:233, reward = 0.991869918699187, state count = 7, state = [17, 18, 38, 109, 123, 126, 137]
train episode:234, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 133, 153, 159]
train episode:235, reward = 0.8341463414634146, state count = 7, state = [1, 4, 18, 109, 123, 133, 153]
train episode:236, reward = 0.8463414634146341, state count = 7, state = [11, 18, 26, 109, 123, 149, 153]
train episode:237, reward = 0.8341463414634146, state count = 7, state = [18, 102, 109, 123, 131, 133, 153]
train episode:238, reward = 0.8707317073170732, state count = 7, state = [18, 35, 57, 73, 109, 123, 153]
evaluate episode:23.9, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 133, 153, 159]
train episode:239, reward = 0.8341463414634146, state count = 7, state = [18, 102, 109, 123, 127, 133, 153]
train episode:240, reward = 0.8333333333333334, state count = 7, state = [18, 109, 111, 123, 133, 153, 159]
train episode:241, reward = 0.8341463414634146, state count = 7, state = [18, 52, 109, 123, 133, 153, 161]
train episode:242, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 133, 137, 153, 156]
train episode:243, reward = 0.8373983739837398, state count = 7, state = [18, 86, 109, 123, 133, 153, 159]
train episode:244, reward = 0.8308943089430895, state count = 7, state = [18, 28, 109, 123, 131, 133, 153]
train episode:245, reward = 0.9780487804878049, state count = 7, state = [18, 27, 95, 100, 105, 120, 123]
train episode:246, reward = 0.8211382113821138, state count = 7, state = [18, 43, 109, 123, 133, 147, 153]
train episode:247, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 133, 153, 155, 158]
train episode:248, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 133, 135, 140, 153]
evaluate episode:24.9, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 133, 153, 159]
train episode:249, reward = 0.8333333333333334, state count = 7, state = [18, 51, 109, 123, 133, 153, 159]
train episode:250, reward = 0.8333333333333334, state count = 7, state = [11, 18, 109, 123, 133, 153, 159]
train episode:251, reward = 0.8333333333333334, state count = 7, state = [18, 109, 110, 123, 133, 152, 153]
