train episode:185, reward = 0.9552845528455285, state count = 9, state = [2, 74, 85, 95, 102, 104, 119, 123, 177]
train episode:186, reward = 0.9967479674796748, state count = 9, state = [23, 44, 63, 85, 96, 99, 102, 172, 177]
train episode:187, reward = 0.9439024390243902, state count = 9, state = [15, 58, 83, 85, 102, 118, 119, 160, 177]
train episode:188, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
evaluate episode:18.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:189, reward = 0.9934959349593496, state count = 9, state = [15, 36, 58, 85, 102, 115, 119, 160, 177]
train episode:190, reward = 0.9959349593495935, state count = 9, state = [15, 54, 84, 85, 102, 119, 124, 175, 177]
train episode:191, reward = 0.959349593495935, state count = 9, state = [15, 16, 85, 102, 103, 119, 160, 171, 177]
train episode:192, reward = 0.9601626016260163, state count = 9, state = [15, 58, 85, 102, 105, 119, 160, 177, 180]
train episode:193, reward = 0.8943089430894309, state count = 9, state = [5, 15, 21, 74, 85, 102, 119, 125, 177]
train episode:194, reward = 0.9902439024390244, state count = 9, state = [15, 19, 58, 85, 92, 102, 119, 160, 177]
train episode:195, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:196, reward = 0.9455284552845529, state count = 9, state = [15, 58, 85, 102, 119, 138, 147, 160, 177]
train episode:197, reward = 0.9252032520325203, state count = 9, state = [15, 70, 85, 102, 119, 148, 160, 177, 183]
train episode:198, reward = 0.9455284552845529, state count = 9, state = [15, 30, 58, 85, 102, 119, 145, 160, 177]
evaluate episode:19.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:199, reward = 0.9439024390243902, state count = 9, state = [15, 58, 85, 102, 116, 119, 131, 160, 177]
train episode:200, reward = 0.9682926829268292, state count = 9, state = [15, 76, 85, 102, 119, 132, 160, 161, 177]
train episode:201, reward = 0.9902439024390244, state count = 9, state = [11, 15, 62, 85, 92, 102, 119, 160, 177]
train episode:202, reward = 0.9520325203252032, state count = 9, state = [13, 53, 63, 85, 102, 117, 119, 133, 177]
train episode:203, reward = 0.9154471544715447, state count = 9, state = [15, 85, 93, 102, 119, 122, 153, 160, 177]
train episode:204, reward = 0.9739837398373984, state count = 9, state = [15, 24, 65, 85, 91, 102, 119, 160, 177]
train episode:205, reward = 0.983739837398374, state count = 9, state = [15, 18, 58, 85, 88, 102, 119, 160, 177]
train episode:206, reward = 0.891869918699187, state count = 9, state = [15, 20, 51, 82, 85, 102, 119, 160, 177]
train episode:207, reward = 0.9699186991869919, state count = 9, state = [12, 15, 85, 102, 111, 119, 123, 160, 177]
train episode:208, reward = 0.9569105691056911, state count = 9, state = [15, 42, 58, 85, 88, 102, 119, 160, 177]
evaluate episode:20.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:209, reward = 0.9975609756097561, state count = 9, state = [15, 40, 85, 89, 92, 102, 119, 147, 177]
train episode:210, reward = 0.9520325203252032, state count = 9, state = [15, 58, 85, 100, 102, 119, 132, 160, 177]
train episode:211, reward = 0.8902439024390244, state count = 9, state = [15, 70, 85, 88, 102, 119, 139, 160, 177]
train episode:212, reward = 0.9723577235772358, state count = 9, state = [15, 58, 85, 102, 119, 120, 160, 177, 179]
train episode:213, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:214, reward = 0.9569105691056911, state count = 9, state = [5, 15, 58, 85, 88, 102, 119, 160, 177]
train episode:215, reward = 0.8902439024390244, state count = 9, state = [8, 15, 85, 87, 89, 102, 119, 160, 177]
train episode:216, reward = 0.9479674796747968, state count = 9, state = [15, 50, 58, 85, 102, 119, 151, 160, 177]
train episode:217, reward = 0.9878048780487805, state count = 9, state = [15, 38, 58, 85, 88, 102, 119, 160, 177]
train episode:218, reward = 0.967479674796748, state count = 9, state = [15, 31, 34, 42, 44, 85, 102, 119, 177]
evaluate episode:21.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:219, reward = 0.9878048780487805, state count = 9, state = [15, 58, 66, 85, 88, 102, 119, 160, 177]
train episode:220, reward = 0.9471544715447154, state count = 9, state = [9, 15, 39, 58, 85, 102, 119, 160, 177]
train episode:221, reward = 0.9699186991869919, state count = 9, state = [15, 58, 85, 88, 102, 119, 160, 171, 177]
train episode:222, reward = 0.9536585365853658, state count = 9, state = [15, 58, 63, 85, 102, 119, 148, 160, 177]
train episode:223, reward = 0.9601626016260163, state count = 9, state = [15, 28, 49, 57, 85, 98, 102, 119, 177]
train episode:224, reward = 0.9853658536585366, state count = 9, state = [15, 58, 66, 85, 102, 119, 154, 160, 177]
train episode:225, reward = 0.9764227642276423, state count = 9, state = [15, 58, 65, 85, 88, 102, 119, 160, 177]
train episode:226, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:227, reward = 0.9772357723577236, state count = 9, state = [15, 58, 80, 85, 88, 102, 119, 160, 177]
train episode:228, reward = 0.9878048780487805, state count = 9, state = [15, 33, 50, 85, 102, 119, 160, 176, 177]
evaluate episode:22.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
