train episode:116, reward = 0.9642276422764228, state count = 9, state = [41, 57, 59, 67, 103, 109, 134, 147, 158]
train episode:117, reward = 0.9577235772357724, state count = 9, state = [4, 41, 57, 67, 105, 111, 134, 138, 144]
train episode:118, reward = 0.975609756097561, state count = 9, state = [41, 46, 57, 66, 67, 73, 134, 158, 163]
evaluate episode:11.9, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 117, 134, 147, 158]
train episode:119, reward = 0.9666666666666667, state count = 9, state = [41, 57, 67, 109, 117, 119, 134, 147, 158]
train episode:120, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 109, 117, 134, 145, 147, 158]
train episode:121, reward = 0.973170731707317, state count = 9, state = [34, 41, 52, 57, 67, 77, 94, 103, 134]
train episode:122, reward = 0.9585365853658536, state count = 9, state = [41, 57, 67, 90, 109, 117, 134, 147, 158]
train episode:123, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 95, 100, 109, 134, 155, 158]
train episode:124, reward = 0.973170731707317, state count = 9, state = [4, 41, 49, 57, 64, 67, 134, 137, 163]
train episode:125, reward = 0.9585365853658536, state count = 9, state = [15, 41, 43, 56, 57, 67, 109, 134, 158]
train episode:126, reward = 0.9829268292682927, state count = 9, state = [41, 49, 57, 67, 117, 119, 132, 134, 158]
train episode:127, reward = 0.9577235772357724, state count = 9, state = [13, 41, 57, 67, 102, 109, 134, 147, 158]
train episode:128, reward = 0.9577235772357724, state count = 9, state = [41, 52, 57, 67, 80, 109, 117, 134, 158]
evaluate episode:12.9, reward = 0.9577235772357724, state count = 9, state = [21, 34, 41, 57, 67, 109, 134, 147, 158]
train episode:129, reward = 0.9780487804878049, state count = 9, state = [17, 26, 41, 57, 67, 109, 134, 147, 158]
train episode:130, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 96, 109, 129, 134, 147, 158]
train episode:131, reward = 0.975609756097561, state count = 9, state = [15, 41, 55, 57, 67, 81, 91, 134, 158]
train episode:132, reward = 0.9813008130081301, state count = 9, state = [37, 41, 57, 61, 65, 67, 111, 134, 158]
train episode:133, reward = 0.9577235772357724, state count = 9, state = [21, 24, 41, 57, 67, 109, 134, 147, 158]
train episode:134, reward = 0.9577235772357724, state count = 9, state = [37, 41, 57, 67, 83, 109, 118, 134, 158]
train episode:135, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 74, 109, 134, 142, 147, 158]
train episode:136, reward = 0.9439024390243902, state count = 9, state = [36, 41, 57, 73, 82, 86, 114, 119, 134]
