train episode:147, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:148, reward = 0.8209219858156028, state count = 5, state = [23, 48, 107, 131, 155]
evaluate episode:14.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:149, reward = 0.6223404255319149, state count = 5, state = [48, 49, 115, 131, 155]
train episode:150, reward = 0.7163120567375887, state count = 5, state = [48, 61, 116, 137, 155]
train episode:151, reward = 0.7624113475177305, state count = 5, state = [34, 48, 131, 155, 172]
train episode:152, reward = 0.8209219858156028, state count = 1, state = [25]
train episode:153, reward = 0.4219858156028369, state count = 5, state = [48, 78, 95, 99, 103]
train episode:154, reward = 0.7819148936170213, state count = 5, state = [20, 34, 48, 131, 155]
train episode:155, reward = 0.599290780141844, state count = 1, state = [48]
train episode:156, reward = 0.7819148936170213, state count = 5, state = [10, 34, 48, 131, 155]
train episode:157, reward = 0.8865248226950354, state count = 5, state = [34, 48, 131, 155, 168]
train episode:158, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 150, 155]
evaluate episode:15.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:159, reward = 0.6205673758865248, state count = 5, state = [48, 131, 151, 155, 169]
train episode:160, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 150, 155]
train episode:161, reward = 0.8865248226950354, state count = 5, state = [34, 48, 131, 155, 168]
train episode:162, reward = 0.6187943262411347, state count = 5, state = [48, 123, 131, 155, 156]
train episode:163, reward = 0.8404255319148937, state count = 5, state = [19, 34, 48, 131, 155]
train episode:164, reward = 0.7056737588652482, state count = 5, state = [48, 129, 133, 155, 164]
train episode:165, reward = 0.7039007092198581, state count = 5, state = [3, 48, 59, 131, 155]
train episode:166, reward = 0.6312056737588653, state count = 5, state = [48, 81, 131, 140, 155]
train episode:167, reward = 0.549645390070922, state count = 5, state = [29, 48, 68, 73, 155]
train episode:168, reward = 0.8865248226950354, state count = 5, state = [34, 48, 131, 155, 179]
evaluate episode:16.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:169, reward = 0.7624113475177305, state count = 5, state = [34, 48, 131, 155, 172]
train episode:170, reward = 0.6028368794326241, state count = 5, state = [48, 82, 123, 155, 161]
train episode:171, reward = 0.8173758865248227, state count = 5, state = [22, 26, 48, 131, 155]
train episode:172, reward = 0.6684397163120568, state count = 5, state = [34, 48, 58, 131, 155]
train episode:173, reward = 0.7021276595744681, state count = 5, state = [34, 48, 79, 131, 155]
train episode:174, reward = 0.7819148936170213, state count = 5, state = [34, 48, 119, 131, 155]
train episode:175, reward = 0.7819148936170213, state count = 5, state = [34, 48, 105, 131, 155]
train episode:176, reward = 0.6205673758865248, state count = 5, state = [48, 98, 131, 155, 180]
train episode:177, reward = 0.875886524822695, state count = 5, state = [34, 48, 61, 131, 155]
