train episode:166, reward = 94.71544715447155, state count = 6, state = [11, 21, 46, 129, 144, 174]
train episode:167, reward = 94.8780487804878, state count = 6, state = [21, 46, 98, 129, 142, 174]
train episode:168, reward = 99.51219512195122, state count = 6, state = [46, 61, 114, 119, 129, 174]
evaluate episode:16.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:169, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:170, reward = 96.91056910569105, state count = 6, state = [15, 21, 46, 129, 164, 174]
train episode:171, reward = 94.95934959349593, state count = 6, state = [21, 46, 129, 144, 155, 174]
train episode:172, reward = 92.60162601626017, state count = 6, state = [5, 13, 46, 129, 131, 174]
train episode:173, reward = 94.95934959349593, state count = 6, state = [21, 46, 82, 129, 144, 174]
train episode:174, reward = 98.53658536585365, state count = 6, state = [21, 38, 46, 129, 144, 174]
train episode:175, reward = 86.01626016260163, state count = 6, state = [21, 46, 93, 125, 129, 174]
train episode:176, reward = 94.95934959349593, state count = 6, state = [21, 46, 129, 143, 147, 174]
train episode:177, reward = 93.98373983739837, state count = 6, state = [21, 46, 78, 129, 144, 174]
train episode:178, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
evaluate episode:17.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:179, reward = 92.76422764227642, state count = 6, state = [21, 24, 46, 77, 129, 174]
train episode:180, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:181, reward = 95.6910569105691, state count = 6, state = [21, 46, 129, 144, 174, 181]
train episode:182, reward = 98.45528455284553, state count = 6, state = [39, 46, 48, 64, 129, 174]
train episode:183, reward = 94.8780487804878, state count = 6, state = [21, 46, 129, 144, 158, 174]
train episode:184, reward = 97.72357723577237, state count = 6, state = [3, 21, 46, 129, 144, 174]
train episode:185, reward = 97.3170731707317, state count = 6, state = [16, 20, 46, 129, 142, 174]
train episode:186, reward = 83.33333333333334, state count = 6, state = [21, 46, 110, 129, 141, 174]
train episode:187, reward = 75.77235772357723, state count = 6, state = [19, 46, 68, 125, 129, 174]
train episode:188, reward = 93.82113821138212, state count = 6, state = [44, 46, 82, 94, 129, 174]
evaluate episode:18.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:189, reward = 93.82113821138212, state count = 6, state = [2, 69, 129, 133, 169, 174]
train episode:190, reward = 93.90243902439023, state count = 6, state = [8, 21, 46, 129, 144, 174]
train episode:191, reward = 92.60162601626017, state count = 6, state = [21, 46, 65, 80, 129, 174]
train episode:192, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:193, reward = 88.45528455284553, state count = 6, state = [45, 46, 63, 112, 129, 174]
train episode:194, reward = 93.4959349593496, state count = 6, state = [10, 50, 74, 120, 129, 174]
train episode:195, reward = 94.71544715447155, state count = 6, state = [21, 46, 103, 129, 144, 174]
train episode:196, reward = 95.9349593495935, state count = 6, state = [21, 46, 129, 145, 168, 174]
train episode:197, reward = 93.90243902439023, state count = 6, state = [21, 46, 96, 129, 144, 174]
train episode:198, reward = 94.79674796747967, state count = 6, state = [9, 21, 46, 129, 144, 174]
evaluate episode:19.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:199, reward = 94.6341463414634, state count = 6, state = [21, 46, 81, 129, 162, 174]
train episode:200, reward = 93.90243902439023, state count = 6, state = [21, 46, 118, 129, 144, 174]
train episode:201, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:202, reward = 94.71544715447155, state count = 6, state = [21, 46, 128, 129, 144, 174]
train episode:203, reward = 95.6910569105691, state count = 6, state = [21, 46, 74, 129, 144, 174]
train episode:204, reward = 99.10569105691057, state count = 6, state = [21, 33, 46, 129, 144, 174]
train episode:205, reward = 92.4390243902439, state count = 6, state = [24, 46, 72, 129, 174, 178]
train episode:206, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:207, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:208, reward = 82.60162601626017, state count = 6, state = [43, 86, 124, 129, 150, 174]
