max = 10, decision tree, 10folds
evaluate episode:20.9, reward = 0.9971557050138362, state count = 10, state = [4, 10, 15, 33, 34, 49, 105, 155, 159, 163]
train episode:209, reward = 0.9969524529813159, state count = 10, state = [10, 15, 33, 34, 35, 37, 49, 155, 159, 163]
train episode:210, reward = 0.9963414600559707, state count = 10, state = [15, 33, 34, 56, 85, 89, 117, 155, 159, 163]
train episode:211, reward = 0.9973573062633128, state count = 10, state = [10, 15, 33, 34, 49, 109, 155, 159, 163, 180]
train episode:212, reward = 0.9993906561783671, state count = 10, state = [10, 14, 15, 26, 33, 34, 155, 159, 163, 179]
train episode:213, reward = 0.997967890271393, state count = 10, state = [10, 15, 28, 33, 34, 49, 51, 155, 159, 163]
train episode:214, reward = 0.9957329407861938, state count = 10, state = [3, 15, 33, 34, 121, 123, 146, 155, 159, 163]
train episode:215, reward = 0.9896328977583575, state count = 1, state = [33]
train episode:216, reward = 0.9967492009487955, state count = 10, state = [10, 15, 33, 34, 49, 63, 155, 159, 160, 163]
train episode:217, reward = 0.9963426968837548, state count = 10, state = [10, 15, 33, 34, 63, 81, 126, 155, 159, 163]
train episode:218, reward = 0.9971557050138362, state count = 10, state = [10, 15, 33, 34, 49, 105, 137, 155, 159, 163]
